tokenizer_id,corpus_id,mask,tokenizer_fingerprint,corpus_sha,code_version,n_chars,n_mask,n_gold_words,n_tokens,n_tokens_accepted,b_tp,b_fp,b_fn,b_tn,w_tp,w_pred,w_gold,w_intact,crossing_tokens,f_midcodepoint,f_cluster_split,f_overlap_rejected,f_dropped_chars,f_prefix_space_trim,n_sents
baichuan-m2,ud_zh_gsd,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,8cac770ebc7b997f152fcbf748555fd2-af9331ff81d8,c1-b1-a1,19235,18735,12010,15654,15407,10733,4174,806,3022,7404,15407,12039,8841,787,247,0,0,3,0,500
baichuan-m2,ud_zh_gsd,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,8cac770ebc7b997f152fcbf748555fd2-af9331ff81d8,c1-b1-a1,19235,18735,12010,15654,15407,10733,4174,806,3022,7404,15407,12039,8841,787,247,0,0,3,0,500
baichuan-m2,ud_zh_gsdsimp,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,6f25aa75467198a1068703ba7201892f-af9331ff81d8,c1-b1-a1,19235,15035,12010,13565,13562,6735,2764,1204,4332,4648,9999,8439,10075,1129,3,0,0,1,0,500
baichuan-m2,ud_zh_gsdsimp,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,6f25aa75467198a1068703ba7201892f-af9331ff81d8,c1-b1-a1,19235,18735,12010,13565,13562,10198,2864,1341,4332,7630,13562,12039,10075,1266,3,0,0,1,0,500
baichuan-m2,ud_zh_gsdsimp,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,6f25aa75467198a1068703ba7201892f-af9331ff81d8,c1-b1-a1,19235,18735,12010,13565,13562,10198,2864,1341,4332,7630,13562,12039,10075,1266,3,0,0,1,0,500
baichuan-m2,ud_zh_hk,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,3b03a30f7f07a74d502e63ab7b2158b1-af9331ff81d8,c1-b1-a1,14063,10547,9874,10721,10602,5550,1630,903,2464,4486,8184,7457,8473,857,119,0,0,1,0,1004
baichuan-m2,ud_zh_hk,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,3b03a30f7f07a74d502e63ab7b2158b1-af9331ff81d8,c1-b1-a1,14063,13059,9874,10721,10602,7940,1658,930,2531,6743,10602,9874,8473,884,119,0,0,1,0,1004
baichuan-m2,ud_zh_hk,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,3b03a30f7f07a74d502e63ab7b2158b1-af9331ff81d8,c1-b1-a1,14063,13059,9874,10721,10602,7940,1658,930,2531,6743,10602,9874,8473,884,119,0,0,1,0,1004
baichuan-m2,vistec_th,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,bed5ca30c44920d580dad8f82cb8699a-af9331ff81d8,c1-b1-a1,1392530,681825,337977,804275,803000,239882,149112,15945,276886,161850,393994,260827,96538,15942,1275,283510,0,0,0,5000
baichuan-m2,vistec_th,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,bed5ca30c44920d580dad8f82cb8699a-af9331ff81d8,c1-b1-a1,1392530,842412,337977,804275,803000,348051,166439,47939,279983,233362,519490,400990,96538,47895,1275,283510,0,0,0,5000
baichuan-m2,vistec_th,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,bed5ca30c44920d580dad8f82cb8699a-af9331ff81d8,c1-b1-a1,1392530,1387530,337977,804275,803000,348132,449868,47970,541560,112313,803000,401102,96538,47924,1275,283510,0,0,0,5000
baichuan-m2,wisesight1000,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,db4e643f660267c46562963d21e2ca5d-af9331ff81d8,c1-b1-a1,75135,35989,18790,43333,43201,12039,7287,681,15982,8905,20319,13713,6079,681,132,15058,0,0,0,993
baichuan-m2,wisesight1000,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,db4e643f660267c46562963d21e2ca5d-af9331ff81d8,c1-b1-a1,75135,46265,18790,43333,43201,19044,8106,2678,16437,13448,28143,22715,6079,2660,132,15058,0,0,0,993
baichuan-m2,wisesight1000,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,db4e643f660267c46562963d21e2ca5d-af9331ff81d8,c1-b1-a1,75135,74142,18790,43333,43201,19056,23152,2681,29253,6702,43201,22730,6079,2663,132,15058,0,0,0,993
bloom,alt_km,core,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,57adf94bc86a52a59e4151d41cf87c72-af9331ff81d8,c1-b1-a1,699986,349503,177585,805995,548182,140708,122528,13434,72833,53219,268236,159142,13407,13434,257813,260893,0,0,0,5000
bloom,alt_km,legal,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,57adf94bc86a52a59e4151d41cf87c72-af9331ff81d8,c1-b1-a1,699986,369883,177585,805995,548182,158838,123451,14426,73168,67655,287289,178264,13407,14421,257813,260893,0,0,0,5000
bloom,alt_km,raw,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,57adf94bc86a52a59e4151d41cf87c72-af9331ff81d8,c1-b1-a1,699986,694986,177585,805995,548182,158839,384343,14426,137378,12338,548182,178265,13407,14421,257813,260893,0,0,0,5000
bloom,hkcancor_d,core,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,f318a47addd2c515077cf9aec2e1f445-af9331ff81d8,c1-b1-a1,2858,1962,2445,3023,2637,1464,279,90,129,1401,2000,1811,2183,88,386,0,0,0,0,257
bloom,hkcancor_d,legal,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,f318a47addd2c515077cf9aec2e1f445-af9331ff81d8,c1-b1-a1,2858,2601,2445,3023,2637,2096,284,92,129,2013,2637,2445,2183,90,386,0,0,0,0,257
bloom,hkcancor_d,raw,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,f318a47addd2c515077cf9aec2e1f445-af9331ff81d8,c1-b1-a1,2858,2601,2445,3023,2637,2096,284,92,129,2013,2637,2445,2183,90,386,0,0,0,0,257
bloom,hkcancor_p,core,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,edbbd3fee436612fbcab80d64f4359d8-af9331ff81d8,c1-b1-a1,2858,1962,2178,3023,2637,1251,492,60,159,1045,2000,1568,1722,60,386,0,0,0,0,257
bloom,hkcancor_p,legal,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,edbbd3fee436612fbcab80d64f4359d8-af9331ff81d8,c1-b1-a1,2858,2601,2178,3023,2637,1859,521,62,159,1606,2637,2178,1722,62,386,0,0,0,0,257
bloom,hkcancor_p,raw,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,edbbd3fee436612fbcab80d64f4359d8-af9331ff81d8,c1-b1-a1,2858,2601,2178,3023,2637,1859,521,62,159,1606,2637,2178,1722,62,386,0,0,0,0,257
bloom,hkcancor_s,core,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,b8ddbfc684e40364d686881c7f75b390-af9331ff81d8,c1-b1-a1,2858,1962,2178,3023,2637,1251,492,60,159,1045,2000,1568,1722,60,386,0,0,0,0,257
bloom,hkcancor_s,legal,e4a9446770d292a6d00cc0d5461b4697b30dd6efc689a14874e66f01e9dde96d,b8ddbfc684e40364d686881c7f75b390-af9331ff81d8,c1-b1-a1,2858,2601,2178,3023,2637,1859,521,62,159,1606,2637,2178,1722,62,386,0,0,0,0,257
